I
1100 Generated by WorldEditor 1.6.0r1

1     20 0 0 O88 RIO VISTA MUNI
111  38.19278353 -121.70656051
111  38.19305860 -121.70652366
112  38.19331955 -121.70668408  38.19317588 -121.70664491
111  38.19305420 -121.70685942 102
112  38.19291491 -121.70931744  38.19291246 -121.70936874 102
111  38.19298577 -121.70942470 102
112  38.19325576 -121.70945113  38.19337915 -121.70946512
111  38.19339561 -121.70938352
111  38.19347666 -121.70951957
111  38.19338183 -121.70961856 102
111  38.19325363 -121.70960545 102
111  38.19261843 -121.70955088 102
111  38.19262547 -121.70917036 102
111  38.19263954 -121.70916812 102
112  38.19274861 -121.70916141  38.19278731 -121.70915693 102
111  38.19279435 -121.70909426 102
112  38.19288231 -121.70774901  38.19289111 -121.70754084 102
111  38.19281001 -121.70751688 102
112  38.19254396 -121.70741804  38.19239266 -121.70737103 102
111  38.19236021 -121.70743355
111  38.19221642 -121.70785882
111  38.19006313 -121.70686931
112  38.19015180 -121.70658245  38.19022273 -121.70635684
111  38.19013406 -121.70629560 102
112  38.18960461 -121.70605064  38.18933355 -121.70592494 102
111  38.18946203 -121.70560386 102
111  38.18957933 -121.70517908
111  38.18969663 -121.70475431 102
111  38.18981393 -121.70432953 102
111  38.18993124 -121.70390476 102
111  38.18995322 -121.70391253 102
111  38.19000576 -121.70395450 102
112  38.19016824 -121.70403222  38.19021466 -121.70405398 102
111  38.19020611 -121.70408040 102
112  38.19017557 -121.70417522  38.19014869 -121.70426071 102
111  38.19025131 -121.70429957 102
112  38.19059094 -121.70444102  38.19067157 -121.70447366 102
111  38.19073510 -121.70437574 102
112  38.19079374 -121.70417522  38.19082184 -121.70405243
111  38.19070049 -121.70398222
111  38.19013125 -121.70371278
112  38.19022410 -121.70245841  38.19023876 -121.70225012
111  38.19034749 -121.70227344
111  38.19035726 -121.70225479
111  38.19035848 -121.70223769
111  38.19022776 -121.70207448
111  38.19017523 -121.70206360
111  38.19021066 -121.70195945
111  38.19029129 -121.70190039
111  38.19028274 -121.70202318
111  38.19047943 -121.70227966
111  38.19073476 -121.70230142
111  38.19093128 -121.70164068
111  38.19091907 -121.70142928
111  38.19104001 -121.70140908
111  38.19109743 -121.70131581
111  38.19112797 -121.70118058
111  38.19124892 -121.70117436
111  38.19129412 -121.70121944
111  38.19132955 -121.70115571
111  38.19130390 -121.70111685
112  38.19116829 -121.70093188  38.19112919 -121.70089613
111  38.19106689 -121.70090856
111  38.19112064 -121.70078732
112  38.19123793 -121.70067540  38.19117195 -121.70077799
111  38.19121349 -121.70085727
111  38.19127946 -121.70098473
111  38.19133566 -121.70099405
112  38.19134910 -121.70077799  38.19135521 -121.70063965
111  38.19137109 -121.70064743
111  38.19181654 -121.70007628
111  38.19194733 -121.70011946
111  38.19186775 -121.70138167
111  38.19218981 -121.70153431
111  38.19227354 -121.69998704
111  38.19203042 -121.69996372
111  38.19198644 -121.69998393
111  38.19183495 -121.69996683
111  38.19181052 -121.69991087
111  38.19194368 -121.69976320
111  38.19201332 -121.69990154
111  38.19227864 -121.69992380
111  38.19231463 -121.69944307
111  38.19231404 -121.69935461
111  38.19243659 -121.69920544
112  38.19246369 -121.69923917  38.19247901 -121.69926016
111  38.19246958 -121.69929977
112  38.19244612 -121.69975490  38.19244319 -121.69989106
111  38.19251356 -121.69989293
111  38.19268802 -121.69988920
111  38.19269095 -121.69985189
111  38.19261178 -121.69983697
111  38.19268948 -121.69878495
111  38.19275345 -121.69877760
112  38.19281829 -121.69761054  38.19282643 -121.69739422
111  38.19286817 -121.69739551 102
112  38.19338879 -121.69742716  38.19350544 -121.69743705 102
111  38.19350261 -121.69727243 102
112  38.19360335 -121.69545159  38.19360945 -121.69531299 102
111  38.19355651 -121.69531299 102
111  38.19343944 -121.69529227 102
111  38.19346285 -121.69491013 102
111  38.19424460 -121.69499225
111  38.19437075 -121.69517699
112  38.19425163 -121.69537388  38.19424145 -121.69519901
111  38.19425163 -121.69537388
112  38.19425163 -121.69537388  38.19424654 -121.69528645
112  38.19417400 -121.69517942  38.19413837 -121.69513683 102
111  38.19410401 -121.69511611 102
112  38.19390341 -121.69510512  38.19372163 -121.69509020 102
111  38.19372602 -121.69523942 102
112  38.19341609 -121.70073357  38.19339878 -121.70101726 102
111  38.19351688 -121.70100171 102
112  38.19378870 -121.70102762  38.19389356 -121.70103539
111  38.19391188 -121.70087476
111  38.19399353 -121.70113824
112  38.19389336 -121.70138384  38.19389702 -121.70126415
111  38.19378707 -121.70115845 102
112  38.19350242 -121.70112892  38.19340590 -121.70112114 102
111  38.19338774 -121.70128007 102
112  38.19314101 -121.70541430  38.19313002 -121.70562104 102
111  38.19318559 -121.70564138 102
112  38.19346853 -121.70577195  38.19356968 -121.70581112
111  38.19364005 -121.70561713
111  38.19386532 -121.70442418
111  38.19390520 -121.70462116
112  38.19383650 -121.70580326  38.19382873 -121.70594809
111  38.19387035 -121.70595483 102
112  38.19520475 -121.70656974  38.19529536 -121.70660731 102
111  38.19530554 -121.70653347 102
111  38.19533812 -121.70640781 102
112  38.19561300 -121.70652181  38.19563641 -121.70653476 102
111  38.19562827 -121.70655808 102
111  38.19535449 -121.70749259
113  38.19523135 -121.70755083
111  38.19302231 -121.70533601 102
111  38.19305163 -121.70483238 102
112  38.19289526 -121.70462253  38.19270590 -121.70460388
111  38.19258984 -121.70458367
112  38.19245545 -121.70470647  38.19241880 -121.70481839 102
111  38.19234672 -121.70508109 102
112  38.19243835 -121.70529560  38.19253486 -121.70534223 102
111  38.19286471 -121.70549767 102
114  38.19297833 -121.70546036  38.19302842 -121.70540285 102
111  38.19307825 -121.70434169 102
111  38.19326697 -121.70122180 102
112  38.19319995 -121.70108579  38.19311256 -121.70107823
111  38.19311171 -121.70121964
111  38.19290873 -121.70432158
114  38.19298178 -121.70447676  38.19306839 -121.70448350 102
111  38.19328558 -121.70084431 102
111  38.19346673 -121.69766615 102
112  38.19340158 -121.69756122  38.19333235 -121.69755604
111  38.19332217 -121.69767521
111  38.19314739 -121.70082988
114  38.19320678 -121.70094538  38.19326531 -121.70095617 102
112  38.19189553 -121.70421493  38.19191603 -121.70422302
112  38.19210161 -121.70425049  38.19214383 -121.70425273
111  38.19214735 -121.70419677
112  38.19223180 -121.70287168  38.19223180 -121.70282244
111  38.19220013 -121.70279558
112  38.19200967 -121.70277400  38.19196842 -121.70277250
111  38.19195841 -121.70281598
113  38.19187769 -121.70418047
111  38.19161461 -121.70403707
111  38.19170868 -121.70242361
111  38.19154742 -121.70241739
113  38.19145580 -121.70402463
112  38.19217794 -121.70512732  38.19221605 -121.70511426 102
111  38.19224098 -121.70506576 102
112  38.19230108 -121.70483260  38.19231135 -121.70474493 102
111  38.19220433 -121.70466846
112  38.19107571 -121.70416067  38.19093937 -121.70409912
111  38.19089439 -121.70419008 102
112  38.19082312 -121.70442323  38.19081090 -121.70448152 102
111  38.19090355 -121.70459551 102
113  38.19208952 -121.70513566 102
110 2 0.25 0.0000 Helipad
111  38.19287759 -121.69668775
111  38.19288614 -121.69644837
111  38.19307795 -121.69646392
111  38.19308528 -121.69632713
112  38.19292157 -121.69630225  38.19290325 -121.69630225
111  38.19290691 -121.69627738
112  38.19293501 -121.69572245  38.19293501 -121.69568204
111  38.19295334 -121.69568515
112  38.19339070 -121.69571624  38.19342002 -121.69571934
111  38.19342124 -121.69575510
112  38.19338703 -121.69631935  38.19338703 -121.69634889
111  38.19337359 -121.69635510
112  38.19322944 -121.69635200  38.19320256 -121.69634889
111  38.19319523 -121.69635355
111  38.19319034 -121.69646702
112  38.19336016 -121.69648723  38.19337726 -121.69648568
111  38.19338337 -121.69650433
112  38.19336993 -121.69668775  38.19336749 -121.69672661
113  38.19334794 -121.69672817
130 Airport Boundary 1
111  38.19381934 -121.71006470
111  38.19235301 -121.70990818
111  38.19235547 -121.70816460
111  38.19212585 -121.70789331
111  38.19040365 -121.70705858
111  38.19003461 -121.70727769
111  38.18917352 -121.70614039
111  38.19000611 -121.70255725
111  38.19204951 -121.69968350
111  38.19256890 -121.69902699
111  38.19287613 -121.69424811
111  38.19525264 -121.69448132
111  38.19474050 -121.70475183
111  38.19624330 -121.70485270
111  38.19555305 -121.70625269
111  38.19579908 -121.70648747
111  38.19593576 -121.70704399
111  38.19617837 -121.70756138
111  38.19597677 -121.70836137
111  38.19532411 -121.70814398
113  38.19401880 -121.70862657
120 Linear Feature 45
111  38.19152105 -121.70151862 20
111  38.19193629 -121.70173755 20
111  38.19234649 -121.70191043 20
115  38.19243877 -121.70126525
120 Linear Feature 44
111  38.19295271 -121.69963125 20
111  38.19298781 -121.69901158 20
111  38.19295238 -121.69811224 20
111  38.19295424 -121.69806241 20
115  38.19298737 -121.69764056
120 Linear Feature 43
111  38.19268167 -121.70428079 20
115  38.19288588 -121.70072823
120 Linear Feature 42
111  38.19223350 -121.70408767 20
115  38.19231641 -121.70264673
120 Linear Feature 41
111  38.19180859 -121.70390593 20
115  38.19189404 -121.70245558
120 Linear Feature 40
111  38.19139797 -121.70370587 20
115  38.19147470 -121.70225219
120 Linear Feature 39
111  38.19098372 -121.70352425 20
115  38.19106345 -121.70206563
120 Linear Feature 12
111  38.19379696 -121.69511243 54 103
116  38.19380275 -121.69496435  38.19380275 -121.69496481
120 Linear Feature 11
111  38.19344651 -121.70114500 54 103
115  38.19345550 -121.70097049
120 Linear Feature 10
111  38.18953748 -121.70567367 54 103
115  38.18945293 -121.70563476
120 Linear Feature 9
111  38.18982348 -121.70433254 54 103
115  38.18992961 -121.70438404
120 Linear Feature 8
111  38.19300334 -121.70586393 54 103
115  38.19312637 -121.70587904
120 Linear Feature 7
111  38.19294827 -121.70956052 54 103
115  38.19295608 -121.70942012
120 Linear Feature 5
111  38.19301427 -121.70723541 54 103
115  38.19291233 -121.70721920
120 Linear Feature 4
111  38.19317329 -121.70584351 54 103
115  38.19319391 -121.70566391
120 Linear Feature 2
111  38.19422916 -121.70614923 54 103
115  38.19419813 -121.70626076
120 Linear Feature 1
111  38.19539075 -121.70688456 54 103
115  38.19550057 -121.70692959
120 Linear Feature 61
111  38.19226363 -121.70214472 51
116  38.19241975 -121.70199791  38.19242922 -121.70185118
120 Linear Feature 60
111  38.19240010 -121.70231533 51
112  38.19225266 -121.70213962  38.19208897 -121.70206638 51
115  38.19121840 -121.70167671
120 Linear Feature 59
111  38.19314264 -121.69747417 51
116  38.19324289 -121.69761375  38.19324289 -121.69772988
120 Linear Feature 58
111  38.19334037 -121.69749234 51
111  38.19302485 -121.69746331 51
116  38.19299800 -121.69749748  38.19299175 -121.69752291
120 Linear Feature 57
111  38.19312430 -121.70101347 51
111  38.19289242 -121.70098890 51
112  38.19274642 -121.70073561  38.19275901 -121.70049530 51
115  38.19277879 -121.70023438
120 Linear Feature 56
111  38.19236390 -121.70480991 51
111  38.19241739 -121.70461101 51
112  38.19257309 -121.70452258  38.19268188 -121.70452093 51
115  38.19286367 -121.70452898
120 Linear Feature 55
111  38.19315506 -121.70101650 51
112  38.19305420 -121.70078839  38.19306470 -121.70059575 51
111  38.19324089 -121.69761799 51
116  38.19334182 -121.69749237  38.19338308 -121.69749457
120 Linear Feature 54
111  38.19287597 -121.70453282 51
112  38.19276560 -121.70429263  38.19277648 -121.70407314 51
111  38.19296423 -121.70119028 51
116  38.19313147 -121.70101376  38.19325426 -121.70102234
120 Linear Feature 53
111  38.19228679 -121.70458708 51
116  38.19228209 -121.70432204  38.19230049 -121.70420343
120 Linear Feature 52
111  38.19206757 -121.70448346 51
112  38.19228365 -121.70430660  38.19229354 -121.70414104 51
111  38.19240749 -121.70218865 51
115  38.19246710 -121.70126275
120 Linear Feature 51
111  38.19144775 -121.70419465 51
116  38.19137095 -121.70388829  38.19139749 -121.70367524
120 Linear Feature 50
111  38.19118761 -121.70407209 51
116  38.19137798 -121.70384024  38.19139099 -121.70364268
120 Linear Feature 49
111  38.19185262 -121.70438539 51
116  38.19174807 -121.70407523  38.19177301 -121.70380828
120 Linear Feature 48
111  38.19154767 -121.70424174 51
116  38.19174807 -121.70407523  38.19176993 -121.70388649
120 Linear Feature 47
111  38.19107409 -121.70401861 51
116  38.19098470 -121.70371515  38.19099632 -121.70348108
120 Linear Feature 46
111  38.19078774 -121.70388880 51
116  38.19098470 -121.70371515  38.19099596 -121.70353030
120 Linear Feature 38
111  38.19057713 -121.70358009 51
116  38.19068479 -121.70384216  38.19079907 -121.70389513
120 Linear Feature 37
111  38.19037163 -121.70370034 51
116  38.19057713 -121.70358011  38.19058775 -121.70349032
120 Linear Feature 36
111  38.19234550 -121.70467560 51
112  38.19226775 -121.70457552  38.19221018 -121.70454806 51
111  38.19186397 -121.70439073 51
111  38.19106707 -121.70401530 51
111  38.19026736 -121.70365310 51
112  38.19021643 -121.70342174  38.19022614 -121.70321988 51
115  38.19027492 -121.70254327
120 Linear Feature 35
111  38.19354730 -121.69736155 51 101
116  38.19341883 -121.69749652  38.19331747 -121.69749421
120 Linear Feature 34
111  38.19353094 -121.69764042 51 101
112  38.19341883 -121.69749653  38.19334184 -121.69749239 51 101
115  38.19334184 -121.69749239
120 Linear Feature 33
111  38.19334456 -121.70086946 51 101
116  38.19322586 -121.70102492  38.19312396 -121.70104290
120 Linear Feature 32
111  38.19332567 -121.70119705 51 101
112  38.19322587 -121.70102493  38.19313406 -121.70101389 51 101
115  38.19313153 -121.70101389
120 Linear Feature 31
111  38.19313559 -121.70442570 51 101
116  38.19298707 -121.70455340  38.19288917 -121.70453613
120 Linear Feature 30
111  38.19311599 -121.70475853 51 101
112  38.19298714 -121.70455342  38.19288568 -121.70453557 51 101
115  38.19287597 -121.70453282
120 Linear Feature 29
111  38.19058984 -121.70453033 51 101
116  38.19077498 -121.70441757  38.19080025 -121.70431849
120 Linear Feature 28
111  38.19083924 -121.70464575 51 101
112  38.19078084 -121.70438867  38.19081381 -121.70427830 51 101
115  38.19086476 -121.70412208
120 Linear Feature 27
111  38.19237786 -121.70535763 51 101
116  38.19227890 -121.70512617  38.19230383 -121.70502613
120 Linear Feature 13
111  38.19367634 -121.70670852 51 101
111  38.19370555 -121.70620611 51 101
116  38.19387545 -121.70605054  38.19398017 -121.70607920
120 Linear Feature 10
111  38.18976007 -121.70503932
112  38.18969633 -121.70509455  38.18966760 -121.70511960 51 101
112  38.18963751 -121.70516477  38.18962987 -121.70519003
111  38.18963751 -121.70516477
112  38.18963751 -121.70516477  38.18962224 -121.70521529 51 101
111  38.18947971 -121.70573730 51 101
112  38.18959577 -121.70597563  38.18971794 -121.70603521 51 101
115  38.19020130 -121.70626632
120 Linear Feature 9
111  38.19527502 -121.70745070 51 101
112  38.19531693 -121.70739240  38.19532829 -121.70736369 51 101
111  38.19544011 -121.70695715 51 101
112  38.19524909 -121.70666716  38.19500271 -121.70656482 51 101
111  38.19387465 -121.70605019 51 101
111  38.19009625 -121.70430196 51 101
112  38.18984849 -121.70442320  38.18979131 -121.70462651 51 101
111  38.18973561 -121.70482236 51 101
112  38.18973529 -121.70493657  38.18974190 -121.70499198
116  38.18976007 -121.70503933  38.18977788 -121.70504904
120 Linear Feature 26
111  38.19208655 -121.70522287 51 101
112  38.19229049 -121.70509689  38.19232395 -121.70497330 51 101
111  38.19236388 -121.70480989 51
116  38.19234549 -121.70467560  38.19232031 -121.70462525
120 Linear Feature 25
111  38.19296781 -121.70724995 51 101
116  38.19277426 -121.70743011  38.19259517 -121.70736664
120 Linear Feature 24
111  38.19294341 -121.70765885 51 101
112  38.19271548 -121.70740632  38.19247814 -121.70732685 51 101
115  38.19240577 -121.70729561
120 Linear Feature 23
111  38.19347799 -121.70105674 51 101
116  38.19335066 -121.70076350  38.19336363 -121.70049356
120 Linear Feature 22
111  38.19402830 -121.70021258 51 101
111  38.19398921 -121.70092140 51 101
116  38.19382693 -121.70109745  38.19369810 -121.70108553
120 Linear Feature 21
111  38.19392506 -121.70201502 51 101
111  38.19396551 -121.70131616 51 101
112  38.19382790 -121.70109759  38.19368850 -121.70107814 51 101
111  38.19347798 -121.70105673 51 101
116  38.19332157 -121.70126655  38.19330955 -121.70148996
120 Linear Feature 20
111  38.19230888 -121.70619639 51 101
111  38.19286122 -121.70644256 51 101
116  38.19302446 -121.70630418  38.19304610 -121.70618602
120 Linear Feature 19
111  38.19237475 -121.70626067 51 101
111  38.19291085 -121.70650775 51 101
116  38.19300125 -121.70669116  38.19301581 -121.70683868
120 Linear Feature 18
111  38.19354829 -121.70680156 51 101
111  38.19317805 -121.70663447 51 101
116  38.19299720 -121.70675873  38.19293305 -121.70691718
120 Linear Feature 17
111  38.19355047 -121.70676600 51 101
111  38.19312245 -121.70657166 51 101
116  38.19301879 -121.70639863  38.19300113 -121.70626586
120 Linear Feature 16
111  38.19374678 -121.70500066 51 101
111  38.19370471 -121.70570674 51 101
116  38.19352613 -121.70588904  38.19339279 -121.70582560
120 Linear Feature 13
111  38.19074459 -121.70386925 51
116  38.19086084 -121.70413414  38.19083422 -121.70431965
120 Linear Feature 12
111  38.19086475 -121.70412209 51
116  38.19107246 -121.70401787  38.19118191 -121.70407252
120 Linear Feature 15
111  38.19376896 -121.70510638 51 101
111  38.19372758 -121.70582228 51 101
116  38.19379168 -121.70601177  38.19386324 -121.70607259
120 Linear Feature 68
111  38.19050756 -121.70677723 20
115  38.19192678 -121.70742907
120 Linear Feature 14
111  38.19364825 -121.70670802 51 101
111  38.19367868 -121.70610456 51 101
116  38.19361674 -121.70593084  38.19353786 -121.70583931
120 Linear Feature 11
111  38.19339636 -121.70950401 51 101
111  38.19337505 -121.70952901 51 101
111  38.19295571 -121.70949097 51 101
112  38.19285208 -121.70921107  38.19286328 -121.70898568 51 101
111  38.19305330 -121.70582335 51 101
111  38.19332508 -121.70120703 51 101
111  38.19353840 -121.69751118 51 101
111  38.19368029 -121.69513215 51 101
112  38.19385042 -121.69502995  38.19401229 -121.69504549 51 101
111  38.19419147 -121.69507011 51 101
116  38.19423455 -121.69511604  38.19424560 -121.69514519
51 12280 CTAF/UNICOM
55 12525 NORCAL APP/DEP
56 11990 TRAVIS DEP
99
