A
1100 Generated by WorldEditor 1.6.0r1

1    612 0 0 KUKI UKIAH MUNI
112  39.12804917 -123.20225499  39.12804484 -123.20231019 1
112  39.12807789 -123.20237691  39.12808892 -123.20239806 1
112  39.12814235 -123.20244130  39.12818393 -123.20245516 1
111  39.13277701 -123.20367088
112  39.13277701 -123.20367088  39.13286824 -123.20369136 1
112  39.13304745 -123.20363967  39.13314235 -123.20357456
111  39.13304745 -123.20363967
112  39.13304745 -123.20363967  39.13317127 -123.20355933 1
112  39.13327377 -123.20331691  39.13328640 -123.20323805
111  39.13327377 -123.20331691
112  39.13327377 -123.20331691  39.13327709 -123.20329976
112  39.13321153 -123.20306323  39.13311256 -123.20302091
111  39.13321153 -123.20306323
113  39.13185335 -123.20269818
112  39.12776291 -123.20234149  39.12785318 -123.20236531 1
112  39.12791908 -123.20218737  39.12793331 -123.20209397 1
112  39.12797173 -123.20186589  39.12797954 -123.20181032 1
112  39.12789872 -123.20165349  39.12783865 -123.20163686 1
112  39.12315427 -123.20040067  39.12311160 -123.20039004 1
112  39.12304469 -123.20054800  39.12303473 -123.20065113
111  39.12304469 -123.20054800
112  39.12304469 -123.20054800  39.12304168 -123.20058948 1
112  39.12310127 -123.20073492  39.12317534 -123.20081667
111  39.12310127 -123.20073492
112  39.12310127 -123.20073492  39.12311000 -123.20074898 1
113  39.12449441 -123.20147503 1
111  39.12363674 -123.20121238 1
112  39.12285109 -123.20077414  39.12278918 -123.20071639
111  39.12285109 -123.20077414
112  39.12285109 -123.20077414  39.12281321 -123.20073896 1
112  39.12274949 -123.20065385  39.12271096 -123.20059184
111  39.12274949 -123.20065385
112  39.12274949 -123.20065385  39.12271528 -123.20058298 1
112  39.12266750 -123.20046315  39.12262554 -123.20037128 1
112  39.12243186 -123.20020327  39.12233533 -123.20017859
112  39.12014435 -123.19960067  39.12014063 -123.19959969 1
112  39.12010374 -123.19965473  39.12009424 -123.19970592
111  39.12010374 -123.19965473
112  39.12010374 -123.19965473  39.12007965 -123.19975098 1
112  39.12014101 -123.19996628  39.12017258 -123.20003059 1
112  39.12036005 -123.20018637  39.12050464 -123.20024980
111  39.12036005 -123.20018637
114  39.12036005 -123.20018637  39.12040621 -123.20020037 1
111  39.13049658 -123.20349231
111  39.13053529 -123.20325339
111  39.13042643 -123.20322299
113  39.13038280 -123.20346207
111  39.13031687 -123.20344205
111  39.13035591 -123.20320622
111  39.13010256 -123.20313998
113  39.13006374 -123.20336980
130 Airport Boundary 1
111  39.13371138 -123.20441525
111  39.13369981 -123.20477229
111  39.12921233 -123.20419654
111  39.12813340 -123.20426382
111  39.12502372 -123.20431153
111  39.12499797 -123.20314906
111  39.12432109 -123.20300915
111  39.12427119 -123.20342878
111  39.12376377 -123.20331733
111  39.12404692 -123.20158306
111  39.12000579 -123.20044644
111  39.11977749 -123.20137177
111  39.11941714 -123.20113342
111  39.11928618 -123.20156131
111  39.11854556 -123.20109268
111  39.11853033 -123.20082880
111  39.11826613 -123.20067538
111  39.11856306 -123.19945668
111  39.11704894 -123.19868100
111  39.11742169 -123.19736474
111  39.11890208 -123.19811931
111  39.11934174 -123.19639833
111  39.12554814 -123.19971408
111  39.13052520 -123.20043041
111  39.13042157 -123.20116536
111  39.13241583 -123.20168122
111  39.13242249 -123.20160382
111  39.13408498 -123.20201948
113  39.13411145 -123.20445925
120 Linear Feature 24
111  39.12890424 -123.20319105 20
115  39.12885424 -123.20319114
120 Linear Feature 23
111  39.12890405 -123.20323396 20
115  39.12890374 -123.20314698
120 Linear Feature 24
111  39.12945777 -123.20330496 20
115  39.12940777 -123.20330505
120 Linear Feature 23
111  39.12945757 -123.20334787 20
115  39.12945727 -123.20326089
120 Linear Feature 24
111  39.12890424 -123.20334609 20
115  39.12885424 -123.20334618
120 Linear Feature 23
111  39.12890405 -123.20338900 20
115  39.12890374 -123.20330202
120 Linear Feature 24
111  39.12945777 -123.20346000 20
115  39.12940777 -123.20346009
120 Linear Feature 23
111  39.12945757 -123.20350291 20
115  39.12945727 -123.20341593
120 Linear Feature 24
111  39.12554401 -123.20217163 20
115  39.12555432 -123.20210856
120 Linear Feature 23
111  39.12551149 -123.20216249 20
115  39.12557756 -123.20218015
120 Linear Feature 24
111  39.12514187 -123.20206074 20
115  39.12515218 -123.20199767
120 Linear Feature 23
111  39.12510935 -123.20205159 20
115  39.12517542 -123.20206925
120 Linear Feature 24
111  39.12860753 -123.20304809 20
115  39.12861783 -123.20298502
120 Linear Feature 23
111  39.12857500 -123.20303895 20
115  39.12864107 -123.20305661
120 Linear Feature 24
111  39.12561629 -123.20203705 20
115  39.12560617 -123.20210017
120 Linear Feature 23
111  39.12564884 -123.20204605 20
115  39.12558272 -123.20202870
120 Linear Feature 24
111  39.12521415 -123.20192616 20
115  39.12520403 -123.20198928
120 Linear Feature 23
111  39.12524670 -123.20193515 20
115  39.12518058 -123.20191780
120 Linear Feature 24
111  39.12881085 -123.20293415 20
115  39.12880072 -123.20299726
120 Linear Feature 23
111  39.12884340 -123.20294314 20
115  39.12877728 -123.20292579
120 Linear Feature 24
111  39.12966190 -123.20330323 20
115  39.12971190 -123.20330328
120 Linear Feature 23
111  39.12966216 -123.20326032 20
115  39.12966233 -123.20334730
120 Linear Feature 24
111  39.12566017 -123.20220041 20
115  39.12567047 -123.20213734
120 Linear Feature 23
111  39.12562765 -123.20219126 20
115  39.12569372 -123.20220892
120 Linear Feature 24
111  39.12525803 -123.20208951 20
115  39.12526833 -123.20202644
120 Linear Feature 23
111  39.12522551 -123.20208037 20
115  39.12529158 -123.20209802
120 Linear Feature 24
111  39.12872368 -123.20307687 20
115  39.12873398 -123.20301380
120 Linear Feature 23
111  39.12869116 -123.20306772 20
115  39.12875723 -123.20308538
120 Linear Feature 24
111  39.12550006 -123.20200882 20
115  39.12548993 -123.20207194
120 Linear Feature 23
111  39.12553261 -123.20201782 20
115  39.12546649 -123.20200047
120 Linear Feature 24
111  39.12509792 -123.20189793 20
115  39.12508779 -123.20196105
120 Linear Feature 23
111  39.12513047 -123.20190692 20
115  39.12506435 -123.20188957
120 Linear Feature 24
111  39.12869462 -123.20290592 20
115  39.12868449 -123.20296903
120 Linear Feature 23
111  39.12872716 -123.20291491 20
115  39.12866104 -123.20289756
120 Linear Feature 24
111  39.12966391 -123.20345568 20
115  39.12971391 -123.20345573
120 Linear Feature 23
111  39.12966417 -123.20341277 20
115  39.12966434 -123.20349975
120 Linear Feature 24
111  39.12756595 -123.20271490 20
115  39.12751699 -123.20273055
120 Linear Feature 23
111  39.12757222 -123.20275705 20
115  39.12755949 -123.20267162
120 Linear Feature 24
111  39.12758902 -123.20284386 20
115  39.12754006 -123.20285951
120 Linear Feature 23
111  39.12759529 -123.20288601 20
115  39.12758257 -123.20280058
120 Linear Feature 22
111  39.12733637 -123.20283149 20
115  39.12729914 -123.20286838
120 Linear Feature 21
111  39.12735475 -123.20286179 20
115  39.12732101 -123.20280600
120 Linear Feature 20
111  39.12740523 -123.20294816 20
115  39.12737150 -123.20298055
120 Linear Feature 19
111  39.12742175 -123.20297605 20
115  39.12738964 -123.20292117
120 Linear Feature 7
111  39.12526922 -123.20378070 1
115  39.12525472 -123.20294979
120 Linear Feature 6
111  39.12633123 -123.20377569 1
115  39.12630579 -123.20295676
120 Linear Feature 4
111  39.12621489 -123.20317928 1
112  39.12631631 -123.20329640  39.12632000 -123.20338579
111  39.12631631 -123.20329640 1
111  39.12632075 -123.20343924 1
112  39.12624102 -123.20353080  39.12616363 -123.20353382 1
111  39.12535413 -123.20356029 1
112  39.12526716 -123.20365957  39.12526799 -123.20374338
111  39.12526716 -123.20365957 1
111  39.12526910 -123.20379240 1
112  39.12535913 -123.20389556  39.12544666 -123.20389556 1
111  39.12626778 -123.20386977 1
112  39.12633154 -123.20378418  39.12633154 -123.20370896
111  39.12633154 -123.20378418 1
111  39.12632637 -123.20361966
112  39.12632637 -123.20361966  39.12632556 -123.20359479 1
116  39.12624091 -123.20353064  39.12618089 -123.20353279
120 Linear Feature 16
111  39.12476513 -123.20177773 1
116  39.12467148 -123.20160780  39.12459188 -123.20158666
120 Linear Feature 15
111  39.12472000 -123.20210124 1
111  39.12476535 -123.20177625 1
116  39.12493830 -123.20167995  39.12507515 -123.20171863
120 Linear Feature 3
112  39.12589361 -123.20270219  39.12588946 -123.20273337 1
112  39.12571303 -123.20279698  39.12559106 -123.20279458 1
111  39.12539000 -123.20281220 1
112  39.12525456 -123.20293847  39.12525429 -123.20305493
111  39.12525456 -123.20293847 1
111  39.12525763 -123.20311040 1
116  39.12535666 -123.20320980  39.12544141 -123.20320711
120 Linear Feature 2
112  39.12778003 -123.20243368  39.12781588 -123.20244211 1
116  39.12797555 -123.20225427  39.12800049 -123.20213412
120 Linear Feature 1
112  39.12816396 -123.20253592  39.12807917 -123.20251261 1
112  39.12797553 -123.20225445  39.12798051 -123.20205152
111  39.12797553 -123.20225445 1
111  39.12807637 -123.20163116 1
116  39.12825699 -123.20150005  39.12841678 -123.20154208
120 Linear Feature 1
111  39.13226308 -123.20254415 1
112  39.13330119 -123.20282216  39.13332052 -123.20282819 1
112  39.13339291 -123.20300558  39.13337630 -123.20312755 1
112  39.13333730 -123.20332866  39.13329575 -123.20355173 1
112  39.13281947 -123.20376719  39.13256040 -123.20370492
111  39.13281947 -123.20376719
112  39.13281947 -123.20376719  39.13273998 -123.20374675 1
112  39.13049581 -123.20315243  39.12918216 -123.20278216
111  39.13049581 -123.20315243
112  39.13049581 -123.20315243  39.12980815 -123.20295861 1
112  39.12816528 -123.20253636  39.12732606 -123.20230360
111  39.12816528 -123.20253636
112  39.12816528 -123.20253636  39.12809144 -123.20251588 1
112  39.12794300 -123.20247405  39.12786867 -123.20245287
111  39.12794300 -123.20247405
112  39.12794300 -123.20247405  39.12789057 -123.20245911 1
112  39.12777993 -123.20243396  39.12772715 -123.20241927
111  39.12777993 -123.20243396
112  39.12777993 -123.20243396  39.12719408 -123.20227091 1
112  39.12599506 -123.20196108  39.12539660 -123.20180406
111  39.12599506 -123.20196108
112  39.12599506 -123.20196108  39.12555146 -123.20184470 1
112  39.12468651 -123.20161246  39.12425825 -123.20149073
111  39.12468651 -123.20161246
112  39.12468651 -123.20161246  39.12448936 -123.20155642 1
112  39.12410320 -123.20143368  39.12391250 -123.20137781
111  39.12410320 -123.20143368
112  39.12410320 -123.20143368  39.12349356 -123.20125508 1
112  39.12240643 -123.20090607  39.12189239 -123.20074645
111  39.12240643 -123.20090607
112  39.12240643 -123.20090607  39.12105661 -123.20048694 1
112  39.12009943 -123.20017938  39.12007296 -123.20017201
111  39.12009943 -123.20017938
112  39.12009943 -123.20017938  39.12000260 -123.20015244 1
112  39.12000156 -123.19988847  39.12003186 -123.19973269 1
111  39.12006047 -123.19958184 1
116  39.12008763 -123.19952527  39.12010017 -123.19951611
120 Linear Feature 2
111  39.12608694 -123.20198508 1
112  39.12597218 -123.20208632  39.12595690 -123.20221017 1
111  39.12589200 -123.20271389
112  39.12589200 -123.20271389  39.12587868 -123.20278030 1
112  39.12607871 -123.20281701  39.12614987 -123.20282271
111  39.12607871 -123.20281701 1
111  39.12619972 -123.20283256 1
112  39.12630561 -123.20295158  39.12631043 -123.20305004
111  39.12630561 -123.20295158 1
111  39.12630903 -123.20306177
112  39.12630903 -123.20306177  39.12630903 -123.20311360 1
112  39.12621861 -123.20317925  39.12618082 -123.20318132 1
111  39.12534945 -123.20320931 1
112  39.12526124 -123.20332715  39.12526245 -123.20344219
111  39.12526124 -123.20332715 1
111  39.12526391 -123.20347723 1
116  39.12535413 -123.20356025  39.12543615 -123.20356492
120 Linear Feature 10
111  39.12565269 -123.20263138 20
115  39.12563369 -123.20276501
120 Linear Feature 9
111  39.12545222 -123.20258273 20
115  39.12542586 -123.20277471
120 Linear Feature 8
111  39.12524915 -123.20253437 20
115  39.12521885 -123.20275426
120 Linear Feature 1
111  39.12419608 -123.20154188 2
111  39.12446088 -123.20165155 2
111  39.12609486 -123.20208647 2
111  39.12790574 -123.20255708 2
115  39.13008793 -123.20314267
120 Linear Feature 5
111  39.12280455 -123.20027863 1
112  39.12275968 -123.20013952  39.12274486 -123.20009902 1
116  39.12270760 -123.20005273  39.12267708 -123.20002496
120 Linear Feature 4
112  39.12441342 -123.20152975  39.12431473 -123.20149288 1
112  39.12419251 -123.20141626  39.12405210 -123.20134427 1
112  39.12307938 -123.20082233  39.12300957 -123.20078133 1
112  39.12289787 -123.20056736  39.12283504 -123.20040938
111  39.12289787 -123.20056736 1
111  39.12280711 -123.20028740
112  39.12280711 -123.20028740  39.12279082 -123.20024340 1
116  39.12296148 -123.20010142  39.12312748 -123.20013642
120 Linear Feature 3
112  39.12807565 -123.20163539  39.12809436 -123.20146902 1
116  39.12792447 -123.20140978  39.12785717 -123.20139311
120 Linear Feature 21
111  39.13031365 -123.20344301 20
111  39.13029254 -123.20357457 20
111  39.13013360 -123.20352920 20
115  39.13015471 -123.20339991
120 Linear Feature 25
111  39.12728169 -123.20255088 20
111  39.12726446 -123.20266454 20
111  39.12716919 -123.20281347 20
111  39.12630875 -123.20261359 20
115  39.12637564 -123.20218769
120 Linear Feature 24
111  39.13007608 -123.20329284 20
115  39.12983397 -123.20322751
120 Linear Feature 20
111  39.13099041 -123.20360727 20
111  39.13078209 -123.20354830 20
115  39.13071663 -123.20346573
120 Linear Feature 19
111  39.13095663 -123.20374064 20
115  39.13097915 -123.20360455
120 Linear Feature 18
111  39.13123041 -123.20381051 20
115  39.13047382 -123.20361453
120 Linear Feature 17
111  39.13126025 -123.20361195 20
115  39.13050927 -123.20340945
120 Linear Feature 16
111  39.13214262 -123.20381291 20
115  39.13160041 -123.20366920
120 Linear Feature 24
111  39.12758902 -123.20284386 20
115  39.12754006 -123.20285951
120 Linear Feature 23
111  39.12759529 -123.20288601 20
115  39.12758257 -123.20280058
120 Linear Feature 18
111  39.12621648 -123.20238879 20
115  39.12624352 -123.20220317
120 Linear Feature 17
111  39.12472604 -123.20210278 1
115  39.12471422 -123.20210013
120 Linear Feature 15
111  39.13332338 -123.20295985 1
115  39.13330881 -123.20304785
120 Linear Feature 14
111  39.13206291 -123.20231546 1
111  39.13195590 -123.20226353 1
115  39.13206902 -123.20227170
120 Linear Feature 13
111  39.13204152 -123.20244410 1
111  39.13193350 -123.20239116 1
115  39.13204797 -123.20240210
120 Linear Feature 12
111  39.13202082 -123.20257318 1
111  39.13191426 -123.20252004 1
115  39.13202761 -123.20253030
120 Linear Feature 11
111  39.13199978 -123.20270270 1
111  39.13189218 -123.20265281 1
115  39.13200690 -123.20266025
120 Linear Feature 10
111  39.13336290 -123.20270521 1
115  39.13337697 -123.20261531
120 Linear Feature 9
111  39.13309479 -123.20263451 1
115  39.13310952 -123.20254272
120 Linear Feature 8
111  39.13282634 -123.20256428 1
115  39.13284044 -123.20247325
120 Linear Feature 7
111  39.13255590 -123.20249340 1
115  39.13257057 -123.20240309
120 Linear Feature 6
111  39.13330380 -123.20398515 1
111  39.13350613 -123.20274270 1
111  39.13228725 -123.20242238 1
115  39.13230115 -123.20233244
120 Linear Feature 5
111  39.13224301 -123.20267542 1
115  39.13222943 -123.20276205
120 Linear Feature 4
111  39.13251556 -123.20274630 1
115  39.13250164 -123.20283206
120 Linear Feature 3
111  39.13278437 -123.20281631 1
115  39.13277045 -123.20290470
120 Linear Feature 2
111  39.13305407 -123.20288902 1
115  39.13303940 -123.20297673
120 Linear Feature 1
112  39.13327152 -123.20331888  39.13333029 -123.20305627 1
112  39.13310586 -123.20290173  39.13301127 -123.20287451 1
115  39.13224304 -123.20267480
120 Linear Feature 25
112  39.12597123 -123.20209402  39.12597357 -123.20207415 1
116  39.12591015 -123.20193885  39.12583846 -123.20191898
21  39.13056311 -123.20157508 1 168.3700 3.00 15 VASI-3L
1300  39.12707058 -123.20254562 103.03 tie_down turboprops|props New Ramp Start 2
1301 B general_aviation 
18  39.12436188 -123.20197425 1 BCN
19  39.12823775 -123.20035328 1 New Windsock 1
19  39.12004245 -123.19887729 1 WS
50 11927 ASOS
51 12300 CTAF/UNICOM
99
